,n_missing,p_missing
Title,0,0.0
Year,0,0.0
Rated,128,0.256
Released,20,0.04
Runtime,14,0.028
Genre,11,0.022
Director,15,0.03
Writer,32,0.064
Actors,15,0.03
Plot,16,0.032
Language,14,0.028
Country,16,0.032
Awards,145,0.29
Poster,13,0.026
Ratings,0,0.0
Metascore,286,0.572
imdbRating,14,0.028
imdbVotes,12,0.024
imdbID,0,0.0
Type,0,0.0
DVD,488,0.976
BoxOffice,272,0.544
Production,497,0.994
Website,500,1.0
imdb_id,0,0.0
runtime_minutes,14,0.028
imdbRating_clean,14,0.028
imdbVotes_clean,12,0.024
Metascore_clean,286,0.572
Year_clean,0,0.0
